gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0035.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0054.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0061.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0131.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0134.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0211.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0213.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0215.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0245.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0253.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0270.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0278.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/0d8d5b6bf50a4e7f9b63d83f3a254b55_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/1b449d39f45b45e5b4250f3c54ff9e95_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/24ea719faf0f4117888c83c58fa94762_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/2fd5a7d45a7d4bce8c15f2f6c89a0494_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/4875af79812244aca89fcef6e9d0dd9e_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/528a4004455e447c9014fddc82cf6a9c_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/53d79ee77e3e4a1ba50a0a5bcd06e2ae_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/6f6b78efc99646d4bac55c206c25c62f_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/93a450440c804961b2d6960af17bf605_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/980e7f8c0c61405ca31db96964a1f273_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/9b1b6c577d0947ada4a1b792a583f1aa_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/9b8bc805f7bf4c7ba7ecd1224a99b0c6_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/a3c01267e2674f488911328012ccb039_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/a5dbc724-654f-4886-a744-2dd91f81b697.jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/a64194eb0f4042698385780d79172bb2_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/a888f89ee9f04541a06096e7424f08fb_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/b3a8a0c19cfe4546afef689e11de2116_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/d3ab4d0329d34c95bf09369aac45b599_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/d7b5bbc55c644166809a7230b098c301_thb.jpg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (1).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (10).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (11).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (12).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (13).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (14).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (15).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (16).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (17).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (18).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (19).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (2).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (20).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (21).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (22).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (23).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (24).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (25).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (26).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (27).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (28).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (29).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (3).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (30).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (31).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (32).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (33).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (34).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (35).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (36).jpeg,01-minor
gs://car-damage-dataset-reda-car-damage-vision/training/01-minor/download (37).jpeg,01-minor
